id,label,name,description,source_tag,confidence,is_hypothetical_demo_case,created_for_story
"UC_ADAM_TB","UseCase","Adam TB","Customer-facing assistant for product and digital banking support at Tatra banka","S10","publicly_observed","false","story_1"
"UC_RAIA_KOSOVO","UseCase","RAIA Kosovo","Customer-facing RAIA assistant for digital banking support in Kosovo","S10|S11","publicly_observed","false","story_1"
"UC_RAIA_BOSNIA","UseCase","RAIA Bosnia","Customer-facing RAIA assistant for digital banking support in Bosnia","S10","publicly_observed","false","story_1"
"UC_RAIA_CROATIA","UseCase","RAIA Croatia","Customer-facing RAIA-style assistant variant for Croatian retail customers","DEMO","hypothetical_demo","true","story_1"
"UC_RBUA_RBCZ_VOICEBOT","UseCase","RBUA RBCZ Voicebot","Voicebot pattern for retail service conversations in Austria and Czechia context","S3","inferred","true","story_1"
"UC_RETAIL_PRODUCT_KNOWLEDGE_YGPT","UseCase","Retail Product Knowledge yellowGPT","Internal knowledge assistant for retail product and policy questions","S5","inferred","true","story_1|story_2"
"UC_DIGITAL_ONBOARDING_ASSISTANT","UseCase","Digital Onboarding Assistant","Assistant for eAccount opening identity verification and onboarding status support","S3|S9","inferred","true","story_2|story_4"
"UC_AUTHENTICATED_CUSTOMER_ASSISTANT","UseCase","Authenticated Customer Assistant","Authenticated mobile assistant using customer profile and product context","DEMO","hypothetical_demo","true","story_1|story_2|story_4"
"UC_BRANCH_ADVISOR_COPILOT","UseCase","Branch Advisor Copilot","Staff copilot for branch advisors using customer profile and product knowledge","DEMO","hypothetical_demo","true","story_2|story_3|story_4"
"UC_SALES_OFFER_ASSISTANT","UseCase","Sales Offer Assistant","Assistant that supports contextual offers and CRM lead creation","S6","inferred","true","story_2|story_3|story_4"
"UC_PRODUCT_RECOMMENDATION_ASSISTANT","UseCase","Product Recommendation Assistant","Customer-facing assistant that recommends suitable retail products","DEMO","hypothetical_demo","true","story_3"
"UC_PERSONALIZED_OFFER_ENGINE","UseCase","Personalized Offer Engine","AI use case for next-best offers and campaign personalization","S6","inferred","true","story_3|story_4"
"UC_LOAN_AFFORDABILITY_RECOMMENDER","UseCase","Loan Affordability Recommender","Decision-support recommender for affordability-sensitive lending conversations","DEMO","hypothetical_demo","true","story_3"
"UC_CREDIT_PREAPPROVAL_ASSISTANT","UseCase","Credit Pre-Approval Assistant","Assistant supporting pre-approval journeys for eligible credit products","DEMO","hypothetical_demo","true","story_3|story_4"
"UC_COMPLAINT_TRIAGE_ASSISTANT","UseCase","Complaint Triage Assistant","Classifier and assistant for complaint routing and response drafting","DEMO","hypothetical_demo","true","story_3|story_4"
"UC_CRM_LEAD_ASSISTANT","UseCase","CRM Lead Assistant","Agentic assistant that creates and updates CRM leads from conversations","S6","inferred","true","story_2|story_4"
"UC_CONSENT_AWARE_CAMPAIGN_AGENT","UseCase","Consent-Aware Campaign Agent","Marketing agent that checks consent before campaign or offer actions","S6","inferred","true","story_2|story_3|story_4"
"UC_CONTACT_CENTER_KNOWLEDGE_COPILOT","UseCase","Contact Center Knowledge Copilot","Internal copilot for contact center agents handling product and complaint questions","DEMO","hypothetical_demo","true","story_1|story_2"
"UC_MAIA_MULTILINGUAL_ASSISTANT","UseCase","MAIA Multilingual Assistant","Multilingual assistant pattern associated with RBI Group AI Lab signals","S8","publicly_observed","false","story_1"
"UC_CUSTOMER_360_INSIGHT_COPILOT","UseCase","Customer 360 Insight Copilot","Internal copilot for governed customer insight exploration","S7","inferred","true","story_2|story_4"
"UC_AUDIT_READY_AGENT_WORKFLOW","UseCase","Audit-Ready Agent Workflow","Reference agentic workflow requiring audit logging and read-write controls","S2|S13","inferred","true","story_3|story_4"
"BANK_RBI_GROUP","NetworkBank","RBI Group","Group-level RBI organization and shared platform context","S1|S4","publicly_observed","false","shared"
"BANK_TATRA","NetworkBank","Tatra banka","Slovak network bank context for Adam TB and digital banking examples","S10|S12","publicly_observed","false","story_1"
"BANK_RAIFFEISEN_KOSOVO","NetworkBank","Raiffeisen Bank Kosovo","Kosovo network bank context for RAIA examples","S10|S11","publicly_observed","false","story_1"
"BANK_RAIFFEISEN_BOSNIA","NetworkBank","Raiffeisen Bank Bosnia","Bosnia network bank context for RAIA assistant examples","S10","publicly_observed","false","story_1"
"BANK_RAIFFEISEN_CROATIA","NetworkBank","Raiffeisen Bank Croatia","Croatian network bank context for assistant blueprint variant","DEMO","hypothetical_demo","true","story_1"
"BANK_RAIFFEISEN_AUSTRIA","NetworkBank","Raiffeisen Bank Austria","Austria network bank context for voicebot and digital service variant","S3|S12","inferred","true","story_1"
"BANK_RAIFFEISEN_CZECH","NetworkBank","Raiffeisenbank Czech Republic","Czech network bank context for voicebot or retail AI variant","S3","inferred","true","story_1"
"BANK_RAIFFEISEN_ROMANIA","NetworkBank","Raiffeisen Bank Romania","Romania network bank context for digital banking examples","S12","inferred","true","story_2"
"BANK_AI_LAB","NetworkBank","RBI Group AI Lab","Group AI Lab context for multilingual assistant and applied AI examples","S8","publicly_observed","false","shared"
"MKT_AT","Market","Austria","Austrian and group headquarters market context","S3|S4","publicly_observed","false","shared"
"MKT_SK","Market","Slovakia","Slovak market for Tatra banka assistant examples","S10|S12","publicly_observed","false","story_1"
"MKT_XK","Market","Kosovo","Kosovo market for RAIA assistant examples","S10|S11","publicly_observed","false","story_1"
"MKT_BA","Market","Bosnia and Herzegovina","Bosnia market for RAIA assistant examples","S10","publicly_observed","false","story_1"
"MKT_HR","Market","Croatia","Croatian market for assistant blueprint variant","DEMO","hypothetical_demo","true","story_1"
"MKT_CZ","Market","Czech Republic","Czech market for voicebot variant","S3","inferred","true","story_1"
"MKT_RO","Market","Romania","Romanian digital banking market context","S12","inferred","true","story_2"
"MKT_CEE","Market","Central and Eastern Europe","Regional CEE context for multi-market blueprint reuse","S4|S8","publicly_observed","false","shared"
"STRAT_ACQUIRE","StrategyPillar","Acquire","Acquire new retail customers through digital and assisted channels","S1","publicly_observed","false","shared"
"STRAT_ENGAGE","StrategyPillar","Engage","Increase customer engagement through digital and human-assisted experiences","S1","publicly_observed","false","shared"
"STRAT_MONETIZE","StrategyPillar","Monetize","Grow retail value through personalized offers and conversion","S1","publicly_observed","false","shared"
"STRAT_DIGITAL_HUMAN_TOUCH","StrategyPillar","Digital Bank with Human Touch","Strategic narrative for digital bank experiences with human support","S1|S4","publicly_observed","false","shared"
"USER_RETAIL_CUSTOMER","UserGroup","Retail customer","End customer using retail banking services","DEMO","hypothetical_demo","true","shared"
"USER_PROSPECT_CUSTOMER","UserGroup","Prospect customer","Prospective customer in onboarding or acquisition journeys","DEMO","hypothetical_demo","true","story_4"
"USER_AUTHENTICATED_CUSTOMER","UserGroup","Authenticated customer","Customer using authenticated digital banking services","DEMO","hypothetical_demo","true","story_1|story_2"
"USER_BRANCH_ADVISOR","UserGroup","Branch advisor","Frontline branch staff advising retail customers","DEMO","hypothetical_demo","true","story_2"
"USER_CONTACT_CENTER_AGENT","UserGroup","Contact center agent","Operations staff handling service and complaint interactions","DEMO","hypothetical_demo","true","story_1|story_2"
"USER_MARKETING_MANAGER","UserGroup","Marketing manager","Business user configuring campaigns and offers","DEMO","hypothetical_demo","true","story_2|story_3"
"CH_MOBILE_APP","Channel","Mobile app","Customer mobile banking application channel","S4|S12","publicly_observed","false","story_1"
"CH_PUBLIC_WEBSITE","Channel","Public website","Public web channel for customer assistance and product information","DEMO","hypothetical_demo","true","story_1"
"CH_VOICE","Channel","Voice channel","Phone or voicebot service channel","DEMO","hypothetical_demo","true","story_1"
"CH_BRANCH_DESKTOP","Channel","Branch desktop","Internal staff desktop channel for branch assistance","DEMO","hypothetical_demo","true","story_2"
"CH_CONTACT_CENTER_DESKTOP","Channel","Contact center desktop","Internal desktop channel for contact center support","DEMO","hypothetical_demo","true","story_2"
"CH_CAMPAIGN_PLATFORM","Channel","Campaign platform","Business campaign orchestration channel","S6","inferred","true","story_2|story_3"
"BP_RETAIL_CONVERSATIONAL_ASSISTANT","BusinessProcess","Retail conversational assistance","Customer conversational assistance for retail banking questions","DEMO","hypothetical_demo","true","story_1"
"BP_DIGITAL_ONBOARDING","BusinessProcess","Digital onboarding","Journey for opening an account digitally with identity verification","S9","publicly_observed","false","story_4"
"BP_CUSTOMER_SERVICE","BusinessProcess","Customer service","General customer service and support process","DEMO","hypothetical_demo","true","story_1"
"BP_BRANCH_ADVICE","BusinessProcess","Branch advice","Branch advisory conversations and preparation","DEMO","hypothetical_demo","true","story_2"
"BP_PERSONALIZED_MARKETING","BusinessProcess","Personalized marketing","Campaign and offer personalization process","S6","inferred","true","story_2|story_3"
"BP_DIGITAL_SALES","BusinessProcess","Digital sales","Digital conversion and lead creation process","S6","inferred","true","story_2|story_4"
"BP_CREDIT_PREAPPROVAL","BusinessProcess","Credit pre-approval","Pre-approval support for eligible credit products","DEMO","hypothetical_demo","true","story_3"
"BP_COMPLAINT_MANAGEMENT","BusinessProcess","Complaint management","Complaint triage routing and response support","DEMO","hypothetical_demo","true","story_3|story_4"
"BP_AGENTIC_WORKFLOW_EXECUTION","BusinessProcess","Agentic workflow execution","Read-write workflow actions performed by approved AI agents","DEMO","hypothetical_demo","true","story_2|story_4"
"FUNC_RETRIEVE_PRODUCT_KNOWLEDGE","ReusableFunction","Retrieve product knowledge","Retrieve approved product information for answers or advice","DEMO","hypothetical_demo","true","story_1|story_2"
"FUNC_RETRIEVE_DIGITAL_HELP","ReusableFunction","Retrieve digital help guidance","Retrieve approved help content for app internet banking or onboarding support","DEMO","hypothetical_demo","true","story_1"
"FUNC_RETRIEVE_CUSTOMER_PROFILE","ReusableFunction","Retrieve customer profile","Retrieve governed customer context for authenticated service and advice","DEMO","hypothetical_demo","true","story_2|story_4"
"FUNC_CHECK_KYC_STATUS","ReusableFunction","Check KYC eKYC status","Retrieve current identity verification or onboarding status","S9","inferred","true","story_2|story_4"
"FUNC_CHECK_PRODUCT_ELIGIBILITY","ReusableFunction","Check product eligibility","Evaluate product eligibility or suitability rules for a customer context","DEMO","hypothetical_demo","true","story_2|story_4"
"FUNC_CREATE_CRM_LEAD","ReusableFunction","Create CRM lead","Create or update a CRM lead from a qualified assistant interaction","S6","inferred","true","story_2|story_4"
"FUNC_ESCALATE_TO_HUMAN","ReusableFunction","Escalate to human","Handoff a conversation or task to branch or contact center staff","DEMO","hypothetical_demo","true","story_1|story_4"
"FUNC_LOG_INTERACTION","ReusableFunction","Log interaction","Record assistant interaction and tool use for audit and service follow-up","S2|S7|S13","inferred","true","story_1|story_4"
"FUNC_APPLY_RESPONSE_GUARDRAILS","ReusableFunction","Apply response guardrails","Apply content safety grounding and policy guardrails before response delivery","S5","inferred","true","story_1|story_3"
"FUNC_RETRIEVE_CONSENT_STATUS","ReusableFunction","Retrieve consent status","Retrieve marketing and personalization consent status","S6","inferred","true","story_2|story_4"
"FUNC_RETRIEVE_COMPLAINT_HISTORY","ReusableFunction","Retrieve complaint history","Retrieve prior complaint interactions for triage and response drafting","DEMO","hypothetical_demo","true","story_3|story_4"
"FUNC_CLASSIFY_COMPLAINT","ReusableFunction","Classify complaint","Classify complaint topic severity and routing path","DEMO","hypothetical_demo","true","story_3"
"FUNC_RECOMMEND_NEXT_BEST_OFFER","ReusableFunction","Recommend next best offer","Generate or rank offer recommendations for customer context","S6","inferred","true","story_2|story_3"
"FUNC_EXPLAIN_RECOMMENDATION","ReusableFunction","Explain recommendation","Produce plain-language rationale for recommendation or affordability support","DEMO","hypothetical_demo","true","story_3"
"FUNC_CHECK_AFFORDABILITY_SIGNAL","ReusableFunction","Check affordability signal","Use governed signals to support affordability-sensitive recommendations","DEMO","hypothetical_demo","true","story_3"
"FUNC_RETRIEVE_GOVERNED_CUSTOMER_DATA","ReusableFunction","Retrieve governed customer data","Retrieve customer data product records with lineage and access controls","S7","inferred","true","story_2|story_4"
"FUNC_TRIGGER_WORKFLOW_ACTION","ReusableFunction","Trigger workflow action","Invoke approved workflow action from an agentic assistant","DEMO","hypothetical_demo","true","story_2|story_4"
"TOOL_PRODUCT_KNOWLEDGE_RAG","ToolServer","Product Knowledge RAG Tool Server","Retrieval service for approved retail product knowledge","S5","inferred","true","story_1|story_2"
"TOOL_DIGITAL_HELP_RAG","ToolServer","Digital Help RAG Tool Server","Retrieval service for digital help and onboarding guidance","DEMO","hypothetical_demo","true","story_1"
"TOOL_CUSTOMER_PROFILE","ToolServer","Customer Profile Tool Server","Governed service exposing customer profile data to approved use cases","DEMO","hypothetical_demo","true","story_2|story_4"
"TOOL_KYC_STATUS","ToolServer","KYC Status Tool Server","Governed service exposing onboarding and KYC status to approved agents","S9","inferred","true","story_2|story_4"
"TOOL_PRODUCT_ELIGIBILITY","ToolServer","Product Eligibility Tool Server","Service exposing product eligibility and rules checks","DEMO","hypothetical_demo","true","story_2|story_4"
"TOOL_CRM_LEAD","ToolServer","CRM Lead Tool Server","Workflow service for creating and updating CRM leads","S6","inferred","true","story_2|story_4"
"TOOL_HUMAN_HANDOFF","ToolServer","Human Handoff Tool Server","Workflow service for handoff to branch or contact center staff","DEMO","hypothetical_demo","true","story_1|story_4"
"TOOL_AUDIT_LOGGING","ToolServer","Audit Logging Tool Server","Shared service for logging agent interactions and tool calls","S2|S7|S13","inferred","true","story_4"
"TOOL_RESPONSE_GUARDRAILS","ToolServer","Response Guardrails Tool Server","Model service for content safety grounding and response controls","S5","inferred","true","story_1|story_3"
"TOOL_CONSENT_STATUS","ToolServer","Consent Status Tool Server","Service exposing consent status for approved personalization use cases","S6","inferred","true","story_2|story_4"
"TOOL_COMPLAINT_TRIAGE","ToolServer","Complaint Triage Tool Server","Classifier service for complaint routing and response support","DEMO","hypothetical_demo","true","story_3|story_4"
"TOOL_NEXT_BEST_OFFER","ToolServer","Next Best Offer Tool Server","Model or decision service for offer ranking and recommendations","S6","inferred","true","story_2|story_3"
"TOOL_GOVERNED_DATA_ACCESS","ToolServer","Governed Data Access Tool Server","Service for governed access to data products and lineage-aware customer data","S7","inferred","true","story_2|story_4"
"SYS_MOBILE_BANKING","System","Mobile Banking Platform","Mobile banking platform used by customer-facing assistants","S4|S12","publicly_observed","false","story_1"
"SYS_PUBLIC_WEBSITE","System","Public Website Platform","Public website platform for customer assistance and product content","DEMO","hypothetical_demo","true","story_1"
"SYS_INTERNAL_GENAI_PLATFORM","System","Internal GenAI Platform","Shared internal GenAI platform for ChatGPT-style assistants and yellowGPTs","S5","publicly_observed","false","story_1|story_2"
"SYS_CONTENT_SAFETY","System","Azure AI Content Safety","Content safety component for response guardrails","S5","publicly_observed","false","story_1|story_3"
"SYS_KYC_PLATFORM","System","KYC eKYC Platform","Identity verification eKYC and Video ID platform context","S9","publicly_observed","false","story_4"
"SYS_ONBOARDING_WORKFLOW","System","Onboarding Workflow System","Workflow system for eAccount opening and onboarding status","S9","inferred","true","story_4"
"SYS_CUSTOMER_MASTER","System","Customer Master","System of record for customer profile and relationship context","DEMO","hypothetical_demo","true","story_2|story_4"
"SYS_CRM_CAMPAIGN","System","CRM Campaign Platform","CRM campaign and offer orchestration platform","S6","publicly_observed","false","story_2|story_4"
"SYS_PRODUCT_CATALOGUE","System","Product Catalogue","System containing product information and catalogue data","DEMO","hypothetical_demo","true","story_1|story_2"
"SYS_ELIGIBILITY_RULES","System","Eligibility Rules Engine","Rules system for product eligibility checks","DEMO","hypothetical_demo","true","story_2|story_4"
"SYS_CONSENT_MANAGEMENT","System","Consent Management System","System managing customer consent for personalization and marketing","DEMO","hypothetical_demo","true","story_2|story_4"
"SYS_DATA_PLATFORM_APEX","System","Data Platform APEX","Data analytics platform context for governed data products lineage and audit logs","S7","publicly_observed","false","story_2|story_4"
"DATA_CUSTOMER_PROFILE","DataDomain","Customer profile","Customer master profile and relationship context","DEMO","hypothetical_demo","true","story_2|story_4"
"DATA_KYC_IDENTITY","DataDomain","KYC identity verification","KYC eKYC identity and onboarding status data","S9","inferred","true","story_4"
"DATA_PRODUCT_CATALOGUE","DataDomain","Product catalogue","Product facts tariffs and eligibility-relevant metadata","DEMO","hypothetical_demo","true","story_1|story_2"
"DATA_CRM_INTERACTIONS","DataDomain","CRM interactions","CRM leads campaigns and customer interaction history","S6","inferred","true","story_2|story_4"
"DATA_CONSENT","DataDomain","Consent","Consent data for personalization and marketing permissions","S6","inferred","true","story_2|story_4"
"DATA_COMPLAINTS","DataDomain","Complaints","Complaint records routing history and resolution context","DEMO","hypothetical_demo","true","story_3|story_4"
"DATA_AUDIT_LOGS","DataDomain","Audit logs","Audit logging and lineage evidence for AI tool calls and workflows","S2|S7|S13","inferred","true","story_4"
"DATA_KNOWLEDGE_CONTENT","DataDomain","Knowledge content","Approved product policy help and staff knowledge content","S5","inferred","true","story_1|story_2"
"DP_CUSTOMER_360","DataProduct","Customer 360 Data Product","Governed customer profile and holdings data product","S7","inferred","true","story_2|story_4"
"DP_KYC_STATUS","DataProduct","KYC Status Data Product","Reusable KYC and identity verification status data product","S9","inferred","true","story_4"
"DP_PRODUCT_CATALOGUE","DataProduct","Product Catalogue Data Product","Governed product catalogue data product for retrieval and eligibility","DEMO","hypothetical_demo","true","story_1|story_2"
"DP_CONSENT_STATUS","DataProduct","Consent Status Data Product","Governed consent data product for personalization checks","S6","inferred","true","story_2|story_4"
"DP_CRM_INTERACTION_HISTORY","DataProduct","CRM Interaction History Data Product","Reusable CRM interaction and lead history data product","S6","inferred","true","story_2|story_4"
"DP_COMPLAINT_HISTORY","DataProduct","Complaint History Data Product","Governed complaint history data product for triage","DEMO","hypothetical_demo","true","story_3|story_4"
"DP_AUDIT_LOG_EVENTS","DataProduct","Audit Log Events Data Product","Governed event log data product for AI actions and lineage evidence","S2|S7|S13","inferred","true","story_4"
"KB_PRODUCT_FAQ","KnowledgeBase","Product FAQ Knowledge Base","Approved retail product and FAQ content for answer grounding","DEMO","hypothetical_demo","true","story_1"
"KB_DIGITAL_HELP","KnowledgeBase","Digital Help Knowledge Base","Approved digital banking help content","DEMO","hypothetical_demo","true","story_1"
"KB_COMPLAINT_GUIDANCE","KnowledgeBase","Complaint Guidance Knowledge Base","Guidance for complaint handling triage and response drafting","DEMO","hypothetical_demo","true","story_3"
"KB_ONBOARDING_FAQ","KnowledgeBase","Onboarding FAQ Knowledge Base","Knowledge content for eAccount opening eKYC and onboarding questions","S9","inferred","true","story_4"
"KB_LOCALIZED_ASSISTANT_CONTENT","KnowledgeBase","Localized Assistant Content Knowledge Base","Market-localized content for multilingual retail assistants","S8|S10","inferred","true","story_1"
"KB_GOVERNANCE_CONTROL_LIBRARY","KnowledgeBase","Governance Control Library","Reference control library for AI governance review and reusable patterns","S2|S13","inferred","true","story_3"
"RISK_CUSTOMER_FACING_GENAI","RiskTrigger","Customer-facing GenAI","GenAI output is exposed directly to customers","S2|S13","inferred","true","story_1|story_3"
"RISK_AUTHENTICATED_CHANNEL","RiskTrigger","Authenticated channel","Use case operates in authenticated banking channel","S2|S13","inferred","true","story_1|story_3"
"RISK_PERSONAL_DATA_USE","RiskTrigger","Uses personal data","Use case processes customer personal data","S2|S13","inferred","true","story_2|story_3"
"RISK_INFLUENCES_PRODUCT_CHOICE","RiskTrigger","Influences product recommendation","Use case may influence product selection or recommendation","S2|S13","inferred","true","story_3"
"RISK_CREDIT_AFFORDABILITY","RiskTrigger","Credit affordability sensitivity","Use case involves affordability or credit-sensitive decision support","DEMO","hypothetical_demo","true","story_3"
"RISK_WRITE_ACTION","RiskTrigger","Performs write action","Agent can trigger workflow write actions or CRM updates","S13","inferred","true","story_2|story_4"
"RISK_COMPLAINT_HANDLING","RiskTrigger","Complaint handling impact","Use case affects complaint routing response or evidence handling","DEMO","hypothetical_demo","true","story_3|story_4"
"RISK_MARKETING_CONSENT","RiskTrigger","Marketing consent dependency","Use case depends on consent for personalization or marketing outreach","S6|S13","inferred","true","story_3|story_4"
"CTRL_CONTENT_SAFETY","Control","Content safety","Control for harmful or inappropriate model output","S5","publicly_observed","false","story_1|story_3"
"CTRL_OUTPUT_GROUNDING","Control","Output grounding","Control requiring responses grounded in approved sources","S5","inferred","true","story_1|story_3"
"CTRL_HUMAN_HANDOFF","Control","Human handoff","Control requiring clear escalation to human staff","DEMO","hypothetical_demo","true","story_1|story_4"
"CTRL_AUDIT_LOGGING","Control","Audit logging","Control requiring logging of interactions decisions and tool calls","S2|S7|S13","inferred","true","story_4"
"CTRL_GDPR_PRIVACY_REVIEW","Control","GDPR privacy review","Privacy review for personal data usage in AI use cases","S2|S13","inferred","true","story_3"
"CTRL_AICO_REVIEW","Control","AICO review","AI governance review through AICO-style governance process","S2|S13","publicly_observed","false","story_3"
"CTRL_AICOE_TECH_REVIEW","Control","AICoE technical review","Technical AI review through AICoE-style process","S2|S13","publicly_observed","false","story_3"
"CTRL_FAIRNESS_BIAS_REVIEW","Control","Fairness bias review","Control for fairness and bias risk in recommendations or credit support","S2|S13","inferred","true","story_3"
"CTRL_EXPLAINABILITY","Control","Explainability","Control requiring understandable recommendation rationale","S13","inferred","true","story_3"
"CTRL_ROLE_BASED_ACCESS","Control","Role-based access control","Control limiting tool and data access to approved roles","S13","inferred","true","story_2|story_4"
"CTRL_DATA_LINEAGE","Control","Data lineage","Control requiring lineage evidence for governed data products","S7|S13","inferred","true","story_4"
"CTRL_CONSENT_CHECK","Control","Consent check","Control requiring consent verification before personalization or marketing action","S6|S13","inferred","true","story_3|story_4"
"ORG_AICO","OrgUnit","AICO","AI governance body for use-case review and controls","S2|S13","publicly_observed","false","story_3"
"ORG_AICOE","OrgUnit","AICoE","AI center of excellence for technical AI review and enablement","S2|S13","publicly_observed","false","story_3"
"ORG_RETAIL_DIGITAL","OrgUnit","Retail Digital","Retail digital business owner for customer-facing AI journeys","S1","inferred","true","shared"
"ORG_CRM_CVM_TEAM","OrgUnit","CRM CVM Team","Team owning CRM campaign and customer value management capabilities","S6","inferred","true","story_2"
"ORG_CIO_API_TEAM","OrgUnit","CIO API Team","Technology team owning API standardization and service enablement","S14","inferred","true","story_2|story_4"
"ORG_DATA_OFFICE","OrgUnit","Data Office","Data governance owner for data products lineage and access","S7|S13","inferred","true","story_4"
"ORG_RETAIL_RISK","OrgUnit","Retail Risk","Risk owner for credit affordability and product recommendation controls","DEMO","hypothetical_demo","true","story_3"
"ORG_LEGAL_COMPLIANCE","OrgUnit","Legal Compliance","Legal and compliance review owner for privacy and regulatory controls","S13","inferred","true","story_3"
"ORG_CONTACT_CENTER_OPS","OrgUnit","Contact Center Operations","Operations team for contact center and complaint handling processes","DEMO","hypothetical_demo","true","story_1|story_4"
"BP_RETAIL_CONVERSATIONAL_ASSISTANT_BLUEPRINT","Blueprint","Retail Conversational Banking Assistant Blueprint","Reusable blueprint for customer-facing retail conversational assistants","S2|S3","inferred","true","story_1|story_4"
"BP_DIGITAL_ONBOARDING_ASSISTANT_BLUEPRINT","Blueprint","Digital Onboarding Assistant Blueprint","Reusable blueprint for onboarding and eKYC assistant journeys","S3|S9","inferred","true","story_2|story_4"
"BP_RETAIL_AGENT_TOOLING_BLUEPRINT","Blueprint","Retail Agent Tooling Blueprint","Reusable service-layer blueprint for retail AI agents and tool servers","S2|S14","inferred","true","story_2|story_4"
"BP_CUSTOMER_FACING_AI_GOVERNANCE_BLUEPRINT","Blueprint","Customer-Facing AI Governance Blueprint","Reusable control pattern for customer-facing and personal-data AI use cases","S2|S13","inferred","true","story_3"
"BP_PERSONALIZED_OFFER_GOVERNANCE_BLUEPRINT","Blueprint","Personalized Offer Governance Blueprint","Reusable governance and service pattern for personalized offers","S6|S13","inferred","true","story_3|story_4"
"BLK_KYC_API_NOT_STANDARDIZED","Blocker","KYC eKYC status API not standardized","API standardization blocker affecting onboarding and identity-status reuse","S9|S14","inferred","true","story_4"
"BLK_CUSTOMER_PROFILE_ACCESS_NOT_APPROVED","Blocker","Customer profile access not approved","Data access blocker affecting authenticated assistants and staff copilots","S7|S13","inferred","true","story_4"
"BLK_PRODUCT_ELIGIBILITY_FRAGMENTED","Blocker","Product eligibility logic fragmented","Rules fragmentation blocker affecting product recommendations and offer conversion","DEMO","hypothetical_demo","true","story_4"
"BLK_CRM_LEAD_API_NOT_REUSABLE","Blocker","CRM lead creation API not reusable","Workflow API blocker affecting monetization and CRM lead automation","S6|S14","inferred","true","story_4"
"BLK_CONSENT_DATA_PRODUCT_INCOMPLETE","Blocker","Consent data product incomplete","Data product blocker affecting personalization and marketing compliance","S6|S13","inferred","true","story_4"
"BLK_AUDIT_LOGGING_PATTERN_MISSING","Blocker","Missing audit logging pattern for tool calls","Control and platform blocker affecting agentic workflow production release","S2|S7|S13","inferred","true","story_4"
"BLK_CUSTOMER_DATA_LINEAGE_INCOMPLETE","Blocker","Incomplete lineage for customer data product","Data governance blocker affecting scaled customer-data use in AI","S7|S13","inferred","true","story_4"
"BLK_COMPLAINT_RETENTION_CONTROL_MISSING","Blocker","Complaint data retention control missing","Governance blocker affecting complaint triage assistant rollout","DEMO","hypothetical_demo","true","story_4"
"BLK_LOCAL_INTEGRATION_UNAVAILABLE","Blocker","Local system integration unavailable","Local integration blocker affecting selected network-bank rollout","DEMO","hypothetical_demo","true","story_4"
"BLK_AICO_REVIEW_NOT_COMPLETED","Blocker","AICO review not completed","Governance review blocker affecting higher-risk production release","S2|S13","inferred","true","story_3|story_4"
"KPI_DIGITAL_NTB_CUSTOMERS","KPI","Digital new-to-bank customers","Metric for digital acquisition and onboarding conversion","S1|S9","inferred","true","story_4"
"KPI_ONBOARDING_COMPLETION_RATE","KPI","Onboarding completion rate","Metric for completion of digital onboarding journeys","S9","inferred","true","story_4"
"KPI_SELF_SERVICE_CONTAINMENT","KPI","Self-service containment","Metric for assistant conversations resolved without human escalation","DEMO","hypothetical_demo","true","story_1|story_4"
"KPI_LEAD_CONVERSION_RATE","KPI","Lead conversion rate","Metric for conversion of qualified assistant or campaign leads","S6","inferred","true","story_2|story_4"
"KPI_OFFER_ACCEPTANCE_RATE","KPI","Offer acceptance rate","Metric for acceptance of personalized offers","S6","inferred","true","story_3|story_4"
"KPI_COMPLAINT_RESOLUTION_TIME","KPI","Complaint resolution time","Metric for speed of complaint handling and resolution","DEMO","hypothetical_demo","true","story_3|story_4"
"KPI_GOVERNANCE_REVIEW_CYCLE_TIME","KPI","Governance review cycle time","Metric for time to complete AI governance reviews","S2|S13","inferred","true","story_3|story_4"
"KPI_REUSE_BLUEPRINT_ADOPTION","KPI","Blueprint adoption rate","Metric for reuse of approved assistant and tooling blueprints","S2|S3","inferred","true","story_1|story_4"
"KPI_API_REUSE_RATE","KPI","API reuse rate","Metric for reuse of standardized tool servers and APIs across use cases","S14","inferred","true","story_2|story_4"
